order,elected,name,party,votes
1,true,大場　やすのぶ,自由民主党,9,617.756
2,true,ひうち　優子,無所属,8,411
3,true,菅沼　つとむ,自由民主党,7,226
4,true,田中　優子,みんなの党,7,216
5,true,おおば　正明,世田谷行革110番,7,161.243
6,true,上川　あや,無所属,7,099
7,true,宍戸　のりお,自由民主党,7,057
8,true,風間　ゆたか,民主党,6,116
9,true,佐藤　美樹,民主党,5,918.911
10,true,すえおか　雅之,みんなの党,5,819
11,true,畠山　しんいち,自由民主党,5,194
12,true,上島　よしもり,自由民主党,5,134
13,true,小泉　たま子,無所属,4,478
14,true,あべ　力也,無所属,4,423.067
15,true,中里　光夫,日本共産党,4,388
16,true,小松　ダイスケ,自由民主党,4,376
17,true,いたい　ひとし,公明党,4,312.051
18,true,山口　ひろひさ,自由民主党,4,306
19,true,里吉　ゆみ,日本共産党,4,297
20,true,山内　あきら,自由民主党,4,276
21,true,青空　こうじ,無所属,4,268
22,true,中村　コータロー,民主党,4,197
23,true,村田　義則,日本共産党,4,188
24,true,福田　たえみ,公明党,4,171
25,true,杉田　みつのぶ,公明党,4,137
26,true,桜井　純子,世田谷・生活者ネットワーク,4,125.123
27,true,下山　よしお,自由民主党,4,112
28,true,羽田　圭二,社会民主党,4,071.200
29,true,平塚　けいじ,公明党,4,068.001
30,true,岡本　のぶ子,公明党,4,050
31,true,高橋　あきひこ,公明党,4,017
32,true,津上　ひとし,公明党,3,889.948
33,true,石川　ゆきお,自由民主党,3,849
34,true,たかく　則男,公明党,3,790
35,true,諸星　よういち,公明党,3,646
36,true,江口　じゅん子,日本共産党,3,592
37,true,高岡　じゅん子,世田谷・生活者ネットワーク,3,452
38,true,しんかわ　勝二,自由民主党,3,440
39,true,上山　なおのり,自由民主党,3,411
40,true,和田　ひでとし,自由民主党,3,402
41,true,三井　みほこ,自由民主党,3,392
42,true,佐藤　ひろと,公明党,3,380.088
43,true,桜井　みのる,日本共産党,3,342.876
44,true,唐沢　としみ,社会民主党,3,306
45,true,てるや　里美,世田谷・生活者ネットワーク,3,249
46,true,中塚　さちよ,民主党,3,201
47,true,木下　泰之,無党派市民,3,145
48,true,桃野　よしふみ,みんなの党,3,028
49,true,植田　靖子,世田谷・生活者ネットワーク,2,936
50,true,あべ　弘幸,自由民主党,2,894.461
51,false,鈴木　しょうじ,自由民主党,2,775.000
52,false,西村　じゅんや,民主党,2,641
53,false,赤沢　まさひこ,自由民主党,2,598
54,false,下条　忠雄,無所属,2,585
55,false,いそだ　久美子,民主党,2,581
56,false,上杉　ひろゆき,民主党,2,570.470
57,false,石綿　しげお,みんなの党,2,559
58,false,稲垣　まさよし,無所属,2,535
59,false,重政　はるゆき,民主党,2,479
60,false,天坂　晴美,自由民主党,2,434
61,false,小野　裕次郎,民主党,2,245
62,false,はた　次郎,民主党,2,234.797
63,false,藤井　まな,民主党,2,135
64,false,あくつ　こう,日本創新党,2,070
65,false,ゆさ　よしひろ,無所属,1,987
66,false,原田　正幸,「まちづくり・自治権」,1,849
67,false,いなだ　たかし,民主党,1,819
68,false,小西　たかお,無所属,1,786
69,false,はやま　園子,民主党,1,613
70,false,そんだ　京子,みんなの党,1,528
71,false,森村　いっぺい,民主党,1,352
72,false,小山　やすし,無所属,1,102.824
73,false,平林　ともひろ,民主党,1,068
74,false,森　たいせい,民主党,1,036.585
75,false,石井　かおる,無所属,988
76,false,森　学,無所属,968.415
77,false,ひろべ　雅子,無所属,620
78,false,小山　ひな子,無所属,497.175
79,false,鈴木　ゆうこ,無所属,395.999
80,false,山本　まさよし,無所属,391
81,false,とりはま　百代,無所属,214
82,false,松崎　やすとし,無所属,169
